market,status,side,size,maxSize,entryPrice,exitPrice,createdAt,createdAtHeight,closedAt,sumOpen,sumClose,netFunding,subaccountNumber
BTC/USDC:USDC,OPEN,,0.00471,,63616.5,,,,,,,,,
AAVE/USDC:USDC,OPEN,,5.13,,136.7138,,,,,,,,
SEI/USDC:USDC,OPEN,,577,,0.345704,,,,,,,,
BNB/USDC:USDC,OPEN,,1.72,,565.551,,,,,,,,
LINK/USDC:USDC,OPEN,,24.4,,12.2455,,,,,,,,
SUI/USDC:USDC,OPEN,,621.8,,0.96457,,,,,,,,
SUI/USDC:USDC,OPEN,,728.7,,0.96015,,,,,,,,,
TON/USDC:USDC,OPEN,,104.4,,5.74735,,,,,,,,
TRX/USDC:USDC,OPEN,,616,,0.16213,,,,,,,,
kPEPE/USDC:USDC,OPEN,,56803,,0.008806,,,,,,,,,
WLD/USDC:USDC,OPEN,,287.9,,1.73713,,,,,,,,,
kBONK/USDC:USDC,OPEN,,66922,,0.020909,,,,,,,,
ETH/USDC:USDC,OPEN,,0.1839,,2714.22,,,,,,,,,
SOL/USDC:USDC,OPEN,,1.27,,158.0612,,,,,,,,,
BNB/USDC:USDC,OPEN,,1.9,,563.909,,,,,,,,,
kSHIB/USDC:USDC,OPEN,,79963,,0.014999,,,,,,,,
ARB/USDC:USDC,OPEN,,1845.1,,0.59618,,,,,,,,
LTC/USDC:USDC,OPEN,,15.31,,65.0948,,,,,,,,,
AAVE/USDC:USDC,OPEN,,5.91,,135.5994,,,,,,,,
BTC/USDC:USDC,OPEN,,0.0063,,63458.1,,,,,,,,,
LINK/USDC:USDC,OPEN,,32.8,,12.15471,,,,,,,,
TRX/USDC:USDC,OPEN,,1234,,0.161869,,,,,,,,
LINK/USDC:USDC,OPEN,,41.2,,12.09463,,,,,,,,
ETH/USDC:USDC,OPEN,,0.2211,,2708.39,,,,,,,,
ARB/USDC:USDC,OPEN,,2020.2,,0.59399,,,,,,,,
BTC/USDC:USDC,OPEN,,0.00789,,63340.8,,,,,,,,
LTC/USDC:USDC,OPEN,,16.89,,64.9082,,,,,,,,
TRX/USDC:USDC,OPEN,,1851,,0.161863,,,,,,,,
BTC/USDC:USDC,OPEN,,0.00948,,63246.4,,,,,,,,,
SOL/USDC:USDC,OPEN,,1.9,,157.895,,,,,,,,
RUNE/USDC:USDC,OPEN,,23,,4.353,,,,,,,,
TRX/USDC:USDC,OPEN,,2469,,0.161807,,,,,,,,
BTC/USDC:USDC,OPEN,,0.01107,,63201.2,,,,,,,,,
SUI/USDC:USDC,OPEN,,105.2,,0.94999,,,,,,,,
AAVE/USDC:USDC,OPEN,,6.69,,134.7903,,,,,,,,
WLD/USDC:USDC,OPEN,,346.8,,1.7306,,,,,,,,,
kSHIB/USDC:USDC,OPEN,,86770,,0.014975,,,,,,,,,
kBONK/USDC:USDC,OPEN,,71946,,0.02084,,,,,,,,
ARB/USDC:USDC,OPEN,,2194.8,,0.59232,,,,,,,,,
kPEPE/USDC:USDC,OPEN,,68521,,0.00876,,,,,,,,
ETH/USDC:USDC,OPEN,,0.2584,,2704.11,,,,,,,,,
SOL/USDC:USDC,OPEN,,2.53,,157.9635,,,,,,,,,
BNB/USDC:USDC,OPEN,,2.08,,563.049,,,,,,,,,
LTC/USDC:USDC,OPEN,,18.47,,64.7606,,,,,,,,,
LINK/USDC:USDC,OPEN,,49.6,,12.05929,,,,,,,,
TRX/USDC:USDC,OPEN,,3090,,0.161614,,,,,,,,
SOL/USDC:USDC,OPEN,,3.17,,157.7488,,,,,,,,
