market,status,side,size,maxSize,entryPrice,exitPrice,createdAt,createdAtHeight,closedAt,sumOpen,sumClose,netFunding,subaccountNumber
DOT-USD,OPEN,LONG,2135,2135,4.98040796252927400471,,2024-07-22T01:28:19.683Z,20898387,,2135,0,32.186099,0
MATIC-USD,OPEN,LONG,5960,5960,0.47427063758389261745,,2024-08-25T01:42:35.289Z,23617896,,5960,0,0.00709,0,
DYDX-USD,OPEN,LONG,7529,7529,1.18055917120467525569,,2024-06-07T06:57:45.111Z,17606805,,7529,0,-15.106573,0
MATIC-USD,OPEN,LONG,5960,5960,0.47427063758389261745,,2024-08-25T01:42:35.289Z,23617896,,5960,0,0.005898,0,
BCH-USD,OPEN,LONG,8.45,8.45,337.92710059171597633136,,2024-08-24T18:10:10.421Z,23593355,,8.45,0,1.810445,0,
DOT-USD,OPEN,LONG,2135,2135,4.98040796252927400471,,2024-07-22T01:28:19.683Z,20898387,,2135,0,32.192504,0
BCH-USD,OPEN,LONG,8.45,8.45,337.92710059171597633136,,2024-08-24T18:10:10.421Z,23593355,,8.45,0,1.812135,0,
DOT-USD,OPEN,LONG,2135,2135,4.98040796252927400471,,2024-07-22T01:28:19.683Z,20898387,,2135,0,32.209584,0
MATIC-USD,OPEN,LONG,5960,5960,0.47427063758389261745,,2024-08-25T01:42:35.289Z,23617896,,5960,0,0.005302,0,
BCH-USD,OPEN,LONG,8.45,8.45,337.92710059171597633136,,2024-08-24T18:10:10.421Z,23593355,,8.45,0,1.81974,0,
FIL-USD,OPEN,LONG,499,499,3.93266132264529058118,,2024-08-24T12:59:16.751Z,23576169,,499,0,0.019852,0,
DOT-USD,OPEN,LONG,2135,2135,4.98040796252927400471,,2024-07-22T01:28:19.683Z,20898387,,2135,0,32.239474,0
ADA-USD,OPEN,LONG,6440,6440,0.36691490683229813664,,2024-08-24T01:42:04.320Z,23538689,,6440,0,-0.002798,0
ADA-USD,OPEN,LONG,6720,6720,0.36629761904761904761,,2024-08-24T01:42:04.320Z,23538689,,6720,0,-0.002798,0
NEAR-USD,OPEN,LONG,376,376,4.42554521276595744679,,2024-08-27T21:02:30.643Z,23844081,,376,0,0.07625,0
OP-USD,OPEN,LONG,69,69,1.431,,2024-08-29T18:14:08.114Z,23999208,,69,0,0.000207,0,
MATIC-USD,OPEN,LONG,5960,5960,0.47427063758389261745,,2024-08-25T01:42:35.289Z,23617896,,5960,0,0.00411,0,
BCH-USD,OPEN,LONG,8.45,8.45,337.92710059171597633136,,2024-08-24T18:10:10.421Z,23593355,,8.45,0,1.823965,0,
DOT-USD,OPEN,LONG,2135,2135,4.98040796252927400471,,2024-07-22T01:28:19.683Z,20898387,,2135,0,32.258689,0
NEAR-USD,OPEN,LONG,399,399,4.41121804511278195487,,2024-08-27T21:02:30.643Z,23844081,,399,0,0.07625,0
BCH-USD,OPEN,LONG,8.45,8.45,337.92710059171597633136,,2024-08-24T18:10:10.421Z,23593355,,8.45,0,1.82988,0,
FIL-USD,OPEN,LONG,499,499,3.93266132264529058118,,2024-08-24T12:59:16.751Z,23576169,,499,0,0.020351,0,
DOT-USD,OPEN,LONG,2135,2135,4.98040796252927400471,,2024-07-22T01:28:19.683Z,20898387,,2135,0,32.271499,0
NEAR-USD,OPEN,LONG,423,423,4.39543262411347517729,,2024-08-27T21:02:30.643Z,23844081,,423,0,0.07625,0
DOGE-USD,OPEN,LONG,23000,23000,0.10488060869565217391,,2024-08-24T18:08:03.875Z,23593240,,23000,0,-0.125765,0
MATIC-USD,OPEN,LONG,5960,5960,0.47427063758389261745,,2024-08-25T01:42:35.289Z,23617896,,5960,0,0.003514,0,
BCH-USD,OPEN,LONG,8.45,8.45,337.92710059171597633136,,2024-08-24T18:10:10.421Z,23593355,,8.45,0,1.83157,0
MATIC-USD,OPEN,LONG,6200,6200,0.47195306451612903226,,2024-08-25T01:42:35.289Z,23617896,,6200,0,0.003514,0
BCH-USD,OPEN,LONG,8.45,8.45,337.92710059171597633136,,2024-08-24T18:10:10.421Z,23593355,,8.45,0,1.832415,0
OP-USD,OPEN,LONG,140,140,1.41172857142857142857,,2024-08-29T18:14:08.114Z,23999208,,140,0,0.000207,0
DOT-USD,OPEN,LONG,2159,2159,4.97122139879573876797,,2024-07-22T01:28:19.683Z,20898387,,2159,0,32.271499,0
